alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.0.weight,0.9988637753068474
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.10.weight,0.9991848850213082
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.12.weight,0.9992971276912507
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.14.weight,0.9994711759674222
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.16.weight,0.9997225251368901
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.2.weight,0.9989721471478241
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.4.weight,0.999018585680434
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.6.weight,0.9990620664138508
2.0,3.0,alpha_2.0_g_3.0,4,spearman,classifier.weight,features.8.weight,0.9991164833607451
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,classifier.weight,0.9988637753068474
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.10.weight,0.9996987949597442
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.12.weight,0.9996714651448361
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.14.weight,0.9996137537339308
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.16.weight,0.9994101961078721
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.2.weight,0.9997792864053086
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.4.weight,0.9997248389729948
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.6.weight,0.9997121434117415
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.0.weight,features.8.weight,0.9997133838680072
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,classifier.weight,0.9991848850213082
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.0.weight,0.9996987949597442
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.12.weight,0.9999482499299476
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.14.weight,0.9998900255325
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.16.weight,0.9997071085757347
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.2.weight,0.9997877171218651
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.4.weight,0.9998440220080661
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.6.weight,0.9998903511429096
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.10.weight,features.8.weight,0.999942976788281
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,classifier.weight,0.9992971276912507
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.0.weight,0.9996714651448361
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.10.weight,0.9999482499299476
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.14.weight,0.9999409787974128
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.16.weight,0.999783302901331
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.2.weight,0.9997634541238107
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.4.weight,0.9998189560943699
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.6.weight,0.9998587876915285
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.12.weight,features.8.weight,0.9999077510493816
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,classifier.weight,0.9994711759674222
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.0.weight,0.9996137537339308
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.10.weight,0.9998900255325
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.12.weight,0.9999409787974128
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.16.weight,0.9998881045646311
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.2.weight,0.9997081659152248
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.4.weight,0.9997609626841956
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.6.weight,0.9998007975916217
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.14.weight,features.8.weight,0.9998488557793523
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,classifier.weight,0.9997225251368901
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.0.weight,0.9994101961078721
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.10.weight,0.9997071085757347
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.12.weight,0.999783302901331
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.14.weight,0.9998881045646311
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.2.weight,0.9995111697023686
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.4.weight,0.9995631535404024
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.6.weight,0.9996031736912502
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.16.weight,features.8.weight,0.9996537315573409
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,classifier.weight,0.9989721471478241
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.0.weight,0.9997792864053086
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.10.weight,0.9997877171218651
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.12.weight,0.9997634541238107
