alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.0.weight,0.9088401416468611
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.10.weight,0.9396453278591013
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.12.weight,0.9594732803294326
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.14.weight,0.9801624941217566
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.16.weight,0.9948374927074026
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.2.weight,0.9130956991117456
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.4.weight,0.9133678279470158
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.6.weight,0.9176624490828665
2.0,3.0,alpha_2.0_g_3.0,2,pearson,classifier.weight,features.8.weight,0.9259234758478667
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,classifier.weight,0.9088401416468611
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.10.weight,0.9963653563584228
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.12.weight,0.9891476379837456
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.14.weight,0.9728432540988444
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.16.weight,0.9456199797793094
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.2.weight,0.9997690284146771
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.4.weight,0.9996740481488441
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.6.weight,0.9994722724096936
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.0.weight,features.8.weight,0.9987795227613881
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,classifier.weight,0.9396453278591013
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.0.weight,0.9963653563584228
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.12.weight,0.9979308767023587
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.14.weight,0.9885908092282586
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.16.weight,0.9690284182821439
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.2.weight,0.9972493155813951
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.4.weight,0.9973529828443397
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.6.weight,0.9981027576351627
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.10.weight,features.8.weight,0.9992155892483768
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,classifier.weight,0.9594732803294326
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.0.weight,0.9891476379837456
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.10.weight,0.9979308767023587
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.14.weight,0.9961757170658782
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.16.weight,0.9827952325509054
