alpha,g,test_acc_mean,test_acc_median,test_acc_sem,test_acc_pct_err
1.6,1.0,0.97392,0.9737,0.00038131351929874386,0.03915244776765482
1.6,1.5,0.9696999999999999,0.9702,0.0008270429251254161,0.08528853512688626
1.6,2.0,0.9610800000000002,0.9612,0.0005944745579080633,0.06185484641320839
1.6,2.5,0.9468400000000001,0.9473,0.000844748483277718,0.08921765908471525
1.6,3.0,0.9308,0.9298,0.0013034569421350314,0.14003619919800508
1.7,0.75,0.97366,0.9735,0.0001208304597359324,0.012409923354757553
1.7,1.25,0.97292,0.9727,0.0007418894796396477,0.07625390367549724
1.7,1.75,0.9648999999999999,0.9662,0.0012684636376341309,0.13146063194467106
1.7,2.25,0.9499000000000001,0.9502,0.0010540398474441057,0.11096324323024587
1.7,2.75,0.9320999999999999,0.9323,0.0007259476565152702,0.07788302290690594
1.8,0.5,0.9701000000000001,0.9704,0.000625299928034536,0.06445726502778434
1.8,0.75,0.97392,0.974,9.69535971483159e-05,0.009954985743009272
1.8,1.0,0.97468,0.9745,0.00038910152916686434,0.03992095140629379
1.8,1.25,0.9738199999999999,0.9736,0.0007952358140828456,0.08166147892658249
1.8,1.5,0.97018,0.9698,0.0009845811292118138,0.10148437704465291
1.8,1.75,0.9638199999999999,0.9647,0.0012792185114357862,0.13272379816104526
1.8,2.0,0.95692,0.9562,0.0016016866110447493,0.16737936411034876
1.8,2.25,0.9480599999999999,0.9473,0.0013403730823916145,0.141380617512775
1.8,2.5,0.93686,0.9373,0.000595482997238385,0.06356157774249994
1.8,2.75,0.92602,0.9251,0.0008918520056601228,0.0963102314917737
1.8,3.0,0.91446,0.9151,0.0007877816956492485,0.08614720115141705
1.9,0.5,0.9681000000000001,0.9673,0.0012872451204024814,0.13296613163954976
1.9,0.75,0.9733,0.9736,0.000406201920231808,0.04173450326022891
1.9,1.0,0.9751799999999999,0.9753,0.0004641120554348948,0.047592450156370605
1.9,1.25,0.9743999999999999,0.9745,0.00042005290672061376,0.04310887794751783
1.9,1.5,0.9705,0.9695,0.0008579044235810758,0.08839818893158946
1.9,1.75,0.96462,0.9637,0.0004170797951897783,0.04323773042128281
1.9,2.0,0.95548,0.9552,0.0007385120175054698,0.07729225284730919
1.9,2.25,0.9457599999999999,0.9453,0.0006280835047100795,0.06641045346706137
1.9,2.5,0.93298,0.9333,0.0011599137898999083,0.1243235428304903
1.9,2.75,0.92032,0.9213,0.0008365006475391038,0.09089236869122738
1.9,3.0,0.9071400000000001,0.9083,0.0017010584939971863,0.1875188497913427
2.0,0.5,0.96358,0.9634,0.0004340506882842136,0.045045630698459245
2.0,0.75,0.97288,0.9724,0.00033376638536556155,0.034307045613596904
2.0,1.0,0.97582,0.9758,0.00023748684174076023,0.02433715662117606
2.0,1.25,0.9754799999999999,0.9755,0.0003277193921634657,0.03359570592564335
2.0,1.5,0.97162,0.9714,0.0003799999999999979,0.03910994010003889
2.0,1.75,0.96384,0.9639,0.00036414282912066294,0.037780423008036905
2.0,2.0,0.9549199999999999,0.9547,0.0007282856582413329,0.07626666718063639
2.0,2.25,0.94314,0.9432,0.0006177378084592075,0.06549799695264834
2.0,2.5,0.92914,0.9293,0.0005409251334519418,0.05821782868587531
2.0,2.75,0.9146599999999999,0.9146,0.000364142829120677,0.03981182396963648
2.0,3.0,0.89908,0.8995,0.0008884818512496491,0.09882122294452653
