alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.16.weight,0.9891517706658366
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.2.weight,0.9984176163870007
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.4.weight,0.9987394402179623
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.6.weight,0.9995349488493092
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.0.weight,0.9789215515695031
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.10.weight,0.9903389308216395
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.12.weight,0.995611999558518
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.14.weight,0.9983708540777593
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.16.weight,0.9995958122915097
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.2.weight,0.9699977684373808
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.4.weight,0.971622709074919
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.6.weight,0.9762580490037056
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.8.weight,0.9826899398118143
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,classifier.weight,0.9789215515695031
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.10.weight,0.9975022641219273
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.12.weight,0.9934893670429066
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.14.weight,0.9888605333909305
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.16.weight,0.9842979916291962
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.2.weight,0.9991849904734078
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.4.weight,0.9993405653376646
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.6.weight,0.9997350952247046
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.8.weight,0.9995311333555816
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,classifier.weight,0.9903389308216395
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.0.weight,0.9975022641219273
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.12.weight,0.9989701444985795
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.14.weight,0.9966478195523615
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.16.weight,0.993891596185315
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.2.weight,0.9942315784835359
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.4.weight,0.9950142139691247
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.6.weight,0.9968578847240125
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.8.weight,0.9988880513729125
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,classifier.weight,0.995611999558518
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.0.weight,0.9934893670429066
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.10.weight,0.9989701444985795
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.14.weight,0.999331074564393
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.16.weight,0.997871782376195
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.2.weight,0.988399557014335
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.4.weight,0.9894782035105985
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.6.weight,0.9922428778738906
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.8.weight,0.9957212972319939
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,classifier.weight,0.9983708540777593
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.0.weight,0.9888605333909305
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.10.weight,0.9966478195523615
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.12.weight,0.999331074564393
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.16.weight,0.9995892427070951
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.2.weight,0.9822810539352657
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.4.weight,0.9835706569946433
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.6.weight,0.9870610333688377
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.8.weight,0.991686822984478
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,classifier.weight,0.9995958122915097
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.0.weight,0.9842979916291962
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.10.weight,0.993891596185315
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.12.weight,0.997871782376195
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.14.weight,0.9995892427070951
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.2.weight,0.9765450323729422
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.4.weight,0.9779999979490291
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.6.weight,0.9820606448191872
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.8.weight,0.9875874675981563
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,classifier.weight,0.9699977684373808
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.0.weight,0.9991849904734078
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.10.weight,0.9942315784835359
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.12.weight,0.988399557014335
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.14.weight,0.9822810539352657
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.16.weight,0.9765450323729422
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.4.weight,0.9999479683427392
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.6.weight,0.9995674535974658
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.8.weight,0.9981308456484245
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,classifier.weight,0.971622709074919
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.0.weight,0.9993405653376646
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.10.weight,0.9950142139691247
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.12.weight,0.9894782035105985
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.14.weight,0.9835706569946433
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.16.weight,0.9779999979490291
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.2.weight,0.9999479683427392
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.6.weight,0.9997850894806828
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.8.weight,0.9985966115653773
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,classifier.weight,0.9762580490037056
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.0.weight,0.9997350952247046
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.10.weight,0.9968578847240125
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.12.weight,0.9922428778738906
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.14.weight,0.9870610333688377
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.16.weight,0.9820606448191872
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.2.weight,0.9995674535974658
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.4.weight,0.9997850894806828
