init_alpha,init_sigma,epoch,layer,alpha,frobenius
1.2,3.0,100,features.10.weight,1.1920348,415.91556
1.2,3.0,100,features.12.weight,1.2049896,815.70276
1.2,3.0,100,features.14.weight,1.1956902,9860.779
1.2,3.0,100,features.16.weight,1.2282388,524.9205
1.2,3.0,100,classifier.weight,1.429568,40.439037
1.2,3.0,2,features.0.weight,1.204156,350.41577
1.2,3.0,2,features.2.weight,1.2100734,258.1877
1.2,3.0,2,features.4.weight,1.192175,398.82166
1.2,3.0,2,features.6.weight,1.2042658,860.3868
1.2,3.0,2,features.8.weight,1.2094854,870.162
1.2,3.0,2,features.10.weight,1.1918231,415.9155
1.2,3.0,2,features.12.weight,1.2047697,815.7029
1.2,3.0,2,features.14.weight,1.1955277,9860.779
1.2,3.0,2,features.16.weight,1.2281185,524.92053
1.2,3.0,2,classifier.weight,1.4292912,40.44724
1.2,3.0,4,features.0.weight,1.2117087,350.4164
1.2,3.0,4,features.2.weight,1.2101295,258.18747
1.2,3.0,4,features.4.weight,1.1921608,398.8219
1.2,3.0,4,features.6.weight,1.2042649,860.38696
1.2,3.0,4,features.8.weight,1.2095141,870.1619
1.2,3.0,4,features.10.weight,1.1918664,415.91553
1.2,3.0,4,features.12.weight,1.204826,815.7029
1.2,3.0,4,features.14.weight,1.195573,9860.779
1.2,3.0,4,features.16.weight,1.2281055,524.9205
1.2,3.0,4,classifier.weight,1.4293975,40.440365
1.2,3.0,125,features.0.weight,1.2043055,350.41953
1.2,3.0,125,features.2.weight,1.2101845,258.19003
1.2,3.0,125,features.4.weight,1.199865,398.82126
1.2,3.0,125,features.6.weight,1.1969253,860.3868
1.2,3.0,125,features.8.weight,1.2174017,870.1619
1.2,3.0,125,features.10.weight,1.192055,415.9156
1.2,3.0,125,features.12.weight,1.2049896,815.70276
1.2,3.0,125,features.14.weight,1.1956722,9860.779
1.2,3.0,125,features.16.weight,1.228227,524.92053
1.2,3.0,125,classifier.weight,1.429568,40.440163
1.2,3.0,0,features.0.weight,1.2041154,350.41174
1.2,3.0,0,features.2.weight,1.2101163,258.18567
1.2,3.0,0,features.4.weight,1.1997014,398.82083
1.2,3.0,0,features.6.weight,1.2042078,860.3868
1.2,3.0,0,features.8.weight,1.2094837,870.1619
1.2,3.0,0,features.10.weight,1.1917305,415.91565
1.2,3.0,0,features.12.weight,1.2047362,815.70294
1.2,3.0,0,features.14.weight,1.1954664,9860.779
1.2,3.0,0,features.16.weight,1.2280183,524.9208
1.2,3.0,0,classifier.weight,1.4284959,40.45139
1.2,3.0,150,features.0.weight,1.2042748,350.41998
1.2,3.0,150,features.2.weight,1.2101762,258.1902
1.2,3.0,150,features.4.weight,1.1998714,398.82138
1.2,3.0,150,features.6.weight,1.1969227,860.3868
1.2,3.0,150,features.8.weight,1.2174059,870.1619
1.2,3.0,150,features.10.weight,1.1920483,415.91556
1.2,3.0,150,features.12.weight,1.2049725,815.7028
1.2,3.0,150,features.14.weight,1.1956736,9860.779
1.2,3.0,150,features.16.weight,1.2282135,524.92053
1.2,3.0,150,classifier.weight,1.429568,40.441116
1.2,3.0,550,features.0.weight,1.2043339,350.42023
1.2,3.0,550,features.2.weight,1.2101634,258.18967
1.2,3.0,550,features.4.weight,1.1998798,398.8214
1.2,3.0,550,features.6.weight,1.1969262,860.3869
1.2,3.0,550,features.8.weight,1.2097335,870.16187
1.2,3.0,550,features.10.weight,1.1920388,415.91583
1.2,3.0,550,features.12.weight,1.2049536,815.7028
1.2,3.0,550,features.14.weight,1.1956078,9860.779
1.2,3.0,550,features.16.weight,1.2281042,524.9209
1.2,3.0,550,classifier.weight,1.4425079,40.453896
1.2,3.0,500,features.0.weight,1.2043399,350.42007
1.2,3.0,500,features.2.weight,1.2101736,258.18964
1.2,3.0,500,features.4.weight,1.1998779,398.8214
1.2,3.0,500,features.6.weight,1.1969278,860.3869
1.2,3.0,500,features.8.weight,1.2097267,870.16187
1.2,3.0,500,features.10.weight,1.1920391,415.91574
1.2,3.0,500,features.12.weight,1.2049695,815.7028
1.2,3.0,500,features.14.weight,1.1956078,9860.779
1.2,3.0,500,features.16.weight,1.2281207,524.92084
1.2,3.0,500,classifier.weight,1.4425079,40.45356
1.2,3.0,40,features.0.weight,1.2042633,350.41873
1.2,3.0,40,features.2.weight,1.210192,258.18942
1.2,3.0,40,features.4.weight,1.19985,398.82153
1.2,3.0,40,features.6.weight,1.1968979,860.3867
1.2,3.0,40,features.8.weight,1.2173697,870.16187
1.2,3.0,40,features.10.weight,1.1919833,415.91556
1.2,3.0,40,features.12.weight,1.2049086,815.7027
1.2,3.0,40,features.14.weight,1.1957105,9860.779
1.2,3.0,40,features.16.weight,1.2282363,524.92035
1.2,3.0,40,classifier.weight,1.4301189,40.43561
1.2,3.0,300,features.0.weight,1.204322,350.42004
1.2,3.0,300,features.2.weight,1.2101711,258.18958
1.2,3.0,300,features.4.weight,1.1998886,398.82138
1.2,3.0,300,features.6.weight,1.1969129,860.38684
1.2,3.0,300,features.8.weight,1.209712,870.1619
1.2,3.0,300,features.10.weight,1.1920403,415.91574
1.2,3.0,300,features.12.weight,1.2049587,815.7028
1.2,3.0,300,features.14.weight,1.1956449,9860.779
1.2,3.0,300,features.16.weight,1.2281495,524.9207
1.2,3.0,300,classifier.weight,1.4286988,40.446957
1.2,3.0,75,features.0.weight,1.2042606,350.41925
1.2,3.0,75,features.2.weight,1.2101827,258.18954
1.2,3.0,75,features.4.weight,1.1998408,398.82156
1.2,3.0,75,features.6.weight,1.1969013,860.3868
1.2,3.0,75,features.8.weight,1.2174052,870.1619
1.2,3.0,75,features.10.weight,1.1920357,415.91553
1.2,3.0,75,features.12.weight,1.2049568,815.70276
1.2,3.0,75,features.14.weight,1.1957074,9860.779
1.2,3.0,75,features.16.weight,1.228235,524.9204
1.2,3.0,75,classifier.weight,1.4298544,40.43734
1.2,3.0,200,features.0.weight,1.2043103,350.42004
1.2,3.0,200,features.2.weight,1.2101513,258.1901
1.2,3.0,200,features.4.weight,1.1998821,398.82135
1.2,3.0,200,features.6.weight,1.1969036,860.38684
1.2,3.0,200,features.8.weight,1.2097001,870.1619
1.2,3.0,200,features.10.weight,1.1920333,415.91565
1.2,3.0,200,features.12.weight,1.2049826,815.7027
1.2,3.0,200,features.14.weight,1.1956608,9860.779
1.2,3.0,200,features.16.weight,1.2281873,524.9206
1.2,3.0,200,classifier.weight,1.429226,40.443962
1.2,3.0,10,features.0.weight,1.2041856,350.4177
1.2,3.0,10,features.2.weight,1.2100958,258.18918
1.2,3.0,10,features.4.weight,1.1997486,398.8218
1.2,3.0,10,features.6.weight,1.2042785,860.3869
1.2,3.0,10,features.8.weight,1.2173096,870.16205
1.2,3.0,10,features.10.weight,1.1919093,415.91547
1.2,3.0,10,features.12.weight,1.2048414,815.7029
1.2,3.0,10,features.14.weight,1.1956167,9860.779
1.2,3.0,10,features.16.weight,1.2281582,524.92035
1.2,3.0,10,classifier.weight,1.4298368,40.43866
1.2,3.0,3,features.0.weight,1.2041909,350.41614
1.2,3.0,3,features.2.weight,1.2101246,258.18756
1.2,3.0,3,features.4.weight,1.1921175,398.82202
1.2,3.0,3,features.6.weight,1.2042665,860.3869
1.2,3.0,3,features.8.weight,1.2094994,870.1619
1.2,3.0,3,features.10.weight,1.1918308,415.91553
1.2,3.0,3,features.12.weight,1.2048062,815.7028
1.2,3.0,3,features.14.weight,1.1955472,9860.779
1.2,3.0,3,features.16.weight,1.2281086,524.92053
1.2,3.0,3,classifier.weight,1.4292912,40.446762
1.2,3.0,250,features.0.weight,1.204323,350.4201
1.2,3.0,250,features.2.weight,1.2101715,258.1896
