alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.0.weight,0.9710790773972878
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.10.weight,0.9765104462319649
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.12.weight,0.9815620830317694
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.14.weight,0.9882819289655185
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.16.weight,0.9957110200206819
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.2.weight,0.9716399878400062
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.4.weight,0.9716194428736247
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.6.weight,0.972151106794317
2.0,3.0,alpha_2.0_g_3.0,2,dcor,classifier.weight,features.8.weight,0.973673358836242
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,classifier.weight,0.9710790773972878
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.10.weight,0.9993688056357523
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.12.weight,0.9983842852538439
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.14.weight,0.9956892469558564
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.16.weight,0.98862092327511
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.2.weight,0.9998984104874445
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.4.weight,0.9998330118790083
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.6.weight,0.9997941107467946
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.0.weight,features.8.weight,0.9996762701651959
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,classifier.weight,0.9765104462319649
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.0.weight,0.9993688056357523
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.12.weight,0.9996612109932781
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.14.weight,0.9979003115367907
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.16.weight,0.9921696731432323
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.2.weight,0.9995328843444046
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.4.weight,0.999601334230016
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.6.weight,0.9997127082788674
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.10.weight,features.8.weight,0.9998811267852818
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,classifier.weight,0.9815620830317694
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.0.weight,0.9983842852538439
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.10.weight,0.9996612109932781
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.14.weight,0.9992073840446799
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.16.weight,0.9949752089404595
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.2.weight,0.9986149715302037
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.4.weight,0.9986915179559079
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.6.weight,0.9988653987544789
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.12.weight,features.8.weight,0.9992160460612576
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,classifier.weight,0.9882819289655185
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.0.weight,0.9956892469558564
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.10.weight,0.9979003115367907
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.12.weight,0.9992073840446799
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.16.weight,0.9981285305142161
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.2.weight,0.9960014295607842
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.4.weight,0.9960700522704434
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.6.weight,0.9963391444977986
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.14.weight,features.8.weight,0.9969476771148775
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,classifier.weight,0.9957110200206819
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.0.weight,0.98862092327511
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.10.weight,0.9921696731432323
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.12.weight,0.9949752089404595
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.14.weight,0.9981285305142161
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.2.weight,0.9890339946463343
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.4.weight,0.9890833743875093
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.6.weight,0.989471319120376
