Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_230859_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=3.0)
Applying HT Init: alpha=1.2, g=3.0, seed=9
Epoch 148 | Train Acc: 0.9980 | Test Acc: 0.9271
Epoch 149 | Train Acc: 0.9980 | Test Acc: 0.9265
Epoch 150 | Train Acc: 0.9981 | Test Acc: 0.9260
Epoch 151 | Train Acc: 0.9982 | Test Acc: 0.9256
Epoch 152 | Train Acc: 0.9983 | Test Acc: 0.9264
Epoch 153 | Train Acc: 0.9983 | Test Acc: 0.9262
Epoch 154 | Train Acc: 0.9982 | Test Acc: 0.9254
Epoch 155 | Train Acc: 0.9984 | Test Acc: 0.9262
Epoch 156 | Train Acc: 0.9984 | Test Acc: 0.9263
Epoch 157 | Train Acc: 0.9983 | Test Acc: 0.9265
Epoch 158 | Train Acc: 0.9984 | Test Acc: 0.9266
Epoch 159 | Train Acc: 0.9985 | Test Acc: 0.9268
Epoch 160 | Train Acc: 0.9986 | Test Acc: 0.9267
Epoch 161 | Train Acc: 0.9986 | Test Acc: 0.9272
Epoch 162 | Train Acc: 0.9987 | Test Acc: 0.9265
Epoch 163 | Train Acc: 0.9988 | Test Acc: 0.9269
Epoch 164 | Train Acc: 0.9987 | Test Acc: 0.9272
Epoch 165 | Train Acc: 0.9988 | Test Acc: 0.9273
Epoch 166 | Train Acc: 0.9988 | Test Acc: 0.9277
Epoch 167 | Train Acc: 0.9989 | Test Acc: 0.9270
Epoch 168 | Train Acc: 0.9989 | Test Acc: 0.9277
Epoch 169 | Train Acc: 0.9989 | Test Acc: 0.9278
Epoch 170 | Train Acc: 0.9986 | Test Acc: 0.9271
Epoch 171 | Train Acc: 0.9988 | Test Acc: 0.9274
Epoch 172 | Train Acc: 0.9989 | Test Acc: 0.9276
Epoch 173 | Train Acc: 0.9990 | Test Acc: 0.9278
Epoch 174 | Train Acc: 0.9990 | Test Acc: 0.9272
Epoch 175 | Train Acc: 0.9990 | Test Acc: 0.9274
Epoch 176 | Train Acc: 0.9991 | Test Acc: 0.9274
Epoch 177 | Train Acc: 0.9991 | Test Acc: 0.9276
Epoch 178 | Train Acc: 0.9991 | Test Acc: 0.9277
Epoch 179 | Train Acc: 0.9991 | Test Acc: 0.9277
Epoch 180 | Train Acc: 0.9991 | Test Acc: 0.9280
Epoch 181 | Train Acc: 0.9992 | Test Acc: 0.9274
Epoch 182 | Train Acc: 0.9992 | Test Acc: 0.9279
Epoch 183 | Train Acc: 0.9992 | Test Acc: 0.9281
Epoch 184 | Train Acc: 0.9993 | Test Acc: 0.9283
Epoch 185 | Train Acc: 0.9992 | Test Acc: 0.9279
Epoch 186 | Train Acc: 0.9993 | Test Acc: 0.9277
Epoch 187 | Train Acc: 0.9993 | Test Acc: 0.9280
Epoch 188 | Train Acc: 0.9993 | Test Acc: 0.9285
Epoch 189 | Train Acc: 0.9994 | Test Acc: 0.9286
Epoch 190 | Train Acc: 0.9994 | Test Acc: 0.9280
Epoch 191 | Train Acc: 0.9994 | Test Acc: 0.9293
Epoch 192 | Train Acc: 0.9994 | Test Acc: 0.9283
Epoch 193 | Train Acc: 0.9994 | Test Acc: 0.9288
Epoch 194 | Train Acc: 0.9994 | Test Acc: 0.9285
Epoch 195 | Train Acc: 0.9994 | Test Acc: 0.9283
Epoch 196 | Train Acc: 0.9994 | Test Acc: 0.9284
Epoch 197 | Train Acc: 0.9994 | Test Acc: 0.9285
Epoch 198 | Train Acc: 0.9995 | Test Acc: 0.9287
Epoch 199 | Train Acc: 0.9995 | Test Acc: 0.9287
Epoch 200 | Train Acc: 0.9995 | Test Acc: 0.9287
Epoch 201 | Train Acc: 0.9995 | Test Acc: 0.9285
Epoch 202 | Train Acc: 0.9995 | Test Acc: 0.9288
Epoch 203 | Train Acc: 0.9995 | Test Acc: 0.9284
Epoch 204 | Train Acc: 0.9995 | Test Acc: 0.9287
Epoch 205 | Train Acc: 0.9995 | Test Acc: 0.9284
Epoch 206 | Train Acc: 0.9996 | Test Acc: 0.9284
Epoch 207 | Train Acc: 0.9996 | Test Acc: 0.9291
Epoch 208 | Train Acc: 0.9995 | Test Acc: 0.9286
Epoch 209 | Train Acc: 0.9995 | Test Acc: 0.9291
Epoch 210 | Train Acc: 0.9996 | Test Acc: 0.9289
Epoch 211 | Train Acc: 0.9996 | Test Acc: 0.9289
Epoch 212 | Train Acc: 0.9996 | Test Acc: 0.9289
Epoch 213 | Train Acc: 0.9996 | Test Acc: 0.9291
Epoch 214 | Train Acc: 0.9996 | Test Acc: 0.9287
Epoch 215 | Train Acc: 0.9996 | Test Acc: 0.9291
Epoch 216 | Train Acc: 0.9995 | Test Acc: 0.9290
Epoch 217 | Train Acc: 0.9996 | Test Acc: 0.9287
Epoch 218 | Train Acc: 0.9996 | Test Acc: 0.9282
Epoch 219 | Train Acc: 0.9996 | Test Acc: 0.9291
Epoch 220 | Train Acc: 0.9996 | Test Acc: 0.9289
Epoch 221 | Train Acc: 0.9996 | Test Acc: 0.9289
Epoch 222 | Train Acc: 0.9997 | Test Acc: 0.9290
Epoch 223 | Train Acc: 0.9997 | Test Acc: 0.9288
Epoch 224 | Train Acc: 0.9997 | Test Acc: 0.9288
Epoch 225 | Train Acc: 0.9997 | Test Acc: 0.9293
Epoch 226 | Train Acc: 0.9997 | Test Acc: 0.9290
Epoch 227 | Train Acc: 0.9997 | Test Acc: 0.9293
Epoch 228 | Train Acc: 0.9997 | Test Acc: 0.9290
Epoch 229 | Train Acc: 0.9997 | Test Acc: 0.9295
Epoch 230 | Train Acc: 0.9997 | Test Acc: 0.9291
Epoch 231 | Train Acc: 0.9997 | Test Acc: 0.9290
Epoch 232 | Train Acc: 0.9997 | Test Acc: 0.9293
