Logging initialized in: mnist_mlp_sweep/alpha_1.5_g_0.25/GeneralMLP_LR0.001_BS1024_20260318_123412_s0
Overwriting weights with Heavy-Tailed Distribution (α=1.5, g=0.25)
Applying HT Init: alpha=1.5, g=0.25, seed=0
Epoch 149 | Train Acc: 0.2148 | Test Acc: 0.2123
Epoch 150 | Train Acc: 0.2150 | Test Acc: 0.2125
Epoch 151 | Train Acc: 0.2147 | Test Acc: 0.2126
Epoch 152 | Train Acc: 0.2150 | Test Acc: 0.2125
Epoch 153 | Train Acc: 0.2149 | Test Acc: 0.2133
Epoch 154 | Train Acc: 0.2150 | Test Acc: 0.2129
Epoch 155 | Train Acc: 0.2148 | Test Acc: 0.2123
Epoch 156 | Train Acc: 0.2150 | Test Acc: 0.2118
Epoch 157 | Train Acc: 0.2150 | Test Acc: 0.2127
Epoch 158 | Train Acc: 0.2149 | Test Acc: 0.2120
Epoch 159 | Train Acc: 0.2152 | Test Acc: 0.2119
Epoch 160 | Train Acc: 0.2150 | Test Acc: 0.2118
Epoch 161 | Train Acc: 0.2150 | Test Acc: 0.2117
Epoch 162 | Train Acc: 0.2151 | Test Acc: 0.2136
Epoch 163 | Train Acc: 0.2154 | Test Acc: 0.2129
Epoch 164 | Train Acc: 0.2152 | Test Acc: 0.2126
Epoch 165 | Train Acc: 0.2151 | Test Acc: 0.2130
Epoch 166 | Train Acc: 0.2153 | Test Acc: 0.2132
Epoch 167 | Train Acc: 0.2151 | Test Acc: 0.2122
Epoch 168 | Train Acc: 0.2154 | Test Acc: 0.2134
Epoch 169 | Train Acc: 0.2153 | Test Acc: 0.2143
Epoch 170 | Train Acc: 0.2157 | Test Acc: 0.2133
Epoch 171 | Train Acc: 0.2158 | Test Acc: 0.2141
Epoch 172 | Train Acc: 0.2157 | Test Acc: 0.2137
Epoch 173 | Train Acc: 0.2157 | Test Acc: 0.2141
Epoch 174 | Train Acc: 0.2162 | Test Acc: 0.2142
Epoch 175 | Train Acc: 0.2162 | Test Acc: 0.2127
Epoch 176 | Train Acc: 0.2163 | Test Acc: 0.2146
Epoch 177 | Train Acc: 0.2332 | Test Acc: 0.2733
Epoch 178 | Train Acc: 0.2904 | Test Acc: 0.2945
Epoch 179 | Train Acc: 0.3031 | Test Acc: 0.3006
