displacement,effective_rank,ipr,participation_ratio,max_singular_val,hill_alpha,spectral_entropy,dominance_ratio,alpha,g,layer,run_name
0.04788355901837349,6.247866153717041,0.0923691913485527,0.9650444388389587,5.226335048675537,6.88674259185791,2.233112335205078,0.12878356873989105,1.7,1.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260301_134105_s3
0.047583065927028656,5.887235164642334,0.9940388202667236,0.47090303897857666,18.480640411376953,2.9220001697540283,5.004136562347412,0.02144966833293438,1.7,1.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260301_113707_s0
0.03561690077185631,8.77825927734375,0.9881423115730286,0.48368701338768005,14.982104301452637,2.5757153034210205,5.1622114181518555,0.017332274466753006,1.7,1.25,features.2.weight,GeneralMLP_LR0.001_BS128_20260301_113707_s0
0.026165209710597992,3.498898506164551,0.9970777630805969,0.37150490283966064,28.39157485961914,2.426816463470459,4.309818744659424,0.03132520616054535,1.7,1.25,features.4.weight,GeneralMLP_LR0.001_BS128_20260301_113707_s0
0.0200553759932518,2.294405937194824,0.9994205236434937,0.2076147198677063,49.329402923583984,2.141592264175415,2.9955008029937744,0.05174610763788223,1.7,1.25,features.6.weight,GeneralMLP_LR0.001_BS128_20260301_113707_s0
0.049931131303310394,6.016018867492676,0.22111180424690247,0.964908242225647,5.241664409637451,5.530716419219971,2.2312629222869873,0.13125096261501312,1.7,1.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260301_113707_s0
0.027414517477154732,1.7195041179656982,0.9945192337036133,0.20483264327049255,57.26038360595703,2.1073179244995117,2.7332589626312256,0.06017841026186943,1.7,1.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260301_142211_s4
0.027314042672514915,6.285318851470947,0.9808170795440674,0.3749450445175171,21.880460739135742,2.0344176292419434,4.564847946166992,0.023264538496732712,1.7,1.25,features.2.weight,GeneralMLP_LR0.001_BS128_20260301_142211_s4
0.022788845002651215,2.1395270824432373,0.9981513619422913,0.29534804821014404,40.686561584472656,2.4144229888916016,3.5260508060455322,0.04492788016796112,1.7,1.25,features.4.weight,GeneralMLP_LR0.001_BS128_20260301_142211_s4
0.0047157458029687405,1.732636570930481,0.9999713897705078,0.025513246655464172,227.19190979003906,1.8609050512313843,0.9712132811546326,0.16986560821533203,1.7,1.25,features.6.weight,GeneralMLP_LR0.001_BS128_20260301_142211_s4
0.014416472986340523,1.1092404127120972,0.9589747786521912,0.3421899676322937,37.560054779052734,1.422960638999939,0.5192615985870361,0.513279139995575,1.7,1.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260301_142211_s4
0.03409833088517189,196.33448791503906,0.0034893136471509933,0.7199262976646423,4.494822025299072,11.2728271484375,6.1635308265686035,0.0030039984267205,2.0,2.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260302_124322_s1
0.029173964634537697,198.73770141601562,0.0038984399288892746,0.7200961709022522,4.4762282371521,11.013885498046875,6.16436243057251,0.0029854276217520237,2.0,2.25,features.2.weight,GeneralMLP_LR0.001_BS128_20260302_124322_s1
0.02586817555129528,198.11611938476562,0.0037864279001951218,0.719419002532959,4.4790544509887695,10.937705993652344,6.162458419799805,0.002991514280438423,2.0,2.25,features.4.weight,GeneralMLP_LR0.001_BS128_20260302_124322_s1
0.022449595853686333,197.62484741210938,0.0035912361927330494,0.7195849418640137,4.486292839050293,11.251301765441895,6.163147449493408,0.0029948847368359566,2.0,2.25,features.6.weight,GeneralMLP_LR0.001_BS128_20260302_124322_s1
0.019133003428578377,8.075790405273438,0.003823373233899474,0.9963230490684509,7.469925880432129,17.74249267578125,2.2951812744140625,0.11148268729448318,2.0,2.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260302_124322_s1
0.03392704576253891,198.39785766601562,0.0035833625588566065,0.7196150422096252,4.476789951324463,11.207409858703613,6.1631903648376465,0.002988981083035469,2.0,2.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260302_133308_s4
0.02905914932489395,202.86981201171875,0.003763738553971052,0.7215522527694702,4.422316551208496,11.312610626220703,6.1662702560424805,0.002951881615445018,2.0,2.25,features.2.weight,GeneralMLP_LR0.001_BS128_20260302_133308_s4
0.02592676505446434,202.3488311767578,0.003803122555837035,0.719527006149292,4.427769184112549,11.156340599060059,6.163246154785156,0.002959836507216096,2.0,2.25,features.4.weight,GeneralMLP_LR0.001_BS128_20260302_133308_s4
0.0229159127920866,195.0418243408203,0.003827570704743266,0.7204763889312744,4.503687858581543,11.061264991760254,6.163704872131348,0.003012783592566848,2.0,2.25,features.6.weight,GeneralMLP_LR0.001_BS128_20260302_133308_s4
0.01944650709629059,8.334238052368164,0.003925841301679611,0.9963505864143372,7.317989349365234,21.346471786499023,2.295288324356079,0.10973897576332092,2.0,2.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260302_133308_s4
0.03359977528452873,198.2335968017578,0.0037650850135833025,0.7194709181785583,4.4769792556762695,11.238443374633789,6.162477970123291,0.0029905184637755156,2.0,2.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260302_131620_s3
0.028995024040341377,198.13577270507812,0.0036001454573124647,0.7196283936500549,4.480091094970703,11.126885414123535,6.16322135925293,0.00299092847853899,2.0,2.25,features.2.weight,GeneralMLP_LR0.001_BS128_20260302_131620_s3
0.025890551507472992,202.72348022460938,0.00375007395632565,0.7215892672538757,4.424164295196533,11.42742919921875,6.166242599487305,0.0029528706800192595,2.0,2.25,features.4.weight,GeneralMLP_LR0.001_BS128_20260302_131620_s3
0.0228230319917202,201.93955993652344,0.0037308286409825087,0.7195451855659485,4.432379245758057,11.22715950012207,6.163229942321777,0.0029627971816807985,2.0,2.25,features.6.weight,GeneralMLP_LR0.001_BS128_20260302_131620_s3
0.019274262711405754,8.162978172302246,0.004046649672091007,0.9962621927261353,7.453301429748535,21.254934310913086,2.295062303543091,0.11088906973600388,2.0,2.25,classifier.weight,GeneralMLP_LR0.001_BS128_20260302_131620_s3
0.03387732803821564,198.742919921875,0.0038491555023938417,0.7201003432273865,4.475780487060547,11.001399040222168,6.16433572769165,0.002985380357131362,2.0,2.25,features.0.weight,GeneralMLP_LR0.001_BS128_20260302_125951_s2
